gene_id	mean_expr	sd_expr	cv
YPR054W	0	0.5054	12200.8881
YLL063C	1e-04	0.5219	8976.4803
YPL215W	-2e-04	0.4757	2695.3655
YJL216C	2e-04	0.5543	2269.9782
YBR094W	2e-04	0.3852	2234.1653
YJR089W	2e-04	0.371	1626.7739
YOR157C	-6e-04	0.6182	1112.7365
YKR002W	4e-04	0.3791	1009.0333
YOL114C	-5e-04	0.4867	1008.9875
YDR283C	4e-04	0.4324	969.822
YGR006W	-6e-04	0.4985	887.9365
YKL075C	-4e-04	0.3423	883.8235
YNL190W	6e-04	0.5314	865.3467
YER190W	-6e-04	0.5152	860.2851
YAR060C	-6e-04	0.5009	778.7128
YGR087C	-0.0012	0.891	744.0849
YDL192W	-9e-04	0.6525	738.3014
YOR331C	9e-04	0.5793	656.5641
YDR281C	0.0017	1.035	612.1559
YOL075C	7e-04	0.4099	602.6202
YBR196C	0.0012	0.6973	591.8668
YIL154C	9e-04	0.5408	588.1088
YLL006W	-0.0011	0.5407	508.523
YBR013C	-9e-04	0.446	493.6201
YOR076C	0.0012	0.5596	462.7499
YBR236C	9e-04	0.3862	426.0592
YJL160C	0.0019	0.7653	402.809
YGL100W	0.001	0.3904	399.6526
YNL047C	-0.001	0.3829	385.0783
YGR031W	-0.0013	0.4429	346.4272
YPR133C	-0.0013	0.4275	336.8456
YNL167C	0.0013	0.4416	329.3061
YLR024C	-0.0016	0.4751	295.2482
YHR060W	0.0018	0.5047	288.1676
YBR110W	0.0017	0.4781	286.8745
YFL006W	0.0017	0.4725	285.8339
YGR275W	-0.0017	0.4902	285.5381
YGL200C	-0.0021	0.5884	285.207
YDL052C	0.0021	0.5796	276.7825
YBR208C	-0.0024	0.6375	269.3615
YGR047C	0.0016	0.3975	255.6304
YGL215W	0.002	0.485	248.1962
YER185W	0.0027	0.679	246.9089
YDL193W	-0.0024	0.5972	244.494
YKL203C	0.002	0.4754	243.4592
YHR034C	0.0025	0.6112	240.3221
YPR111W	0.0019	0.43	227.0206
YLR358C	-0.0022	0.4882	225.3241
YMR031W-A	0.0031	0.6871	222.1512
YMR154C	0.002	0.4379	215.142
YLL059C	0.0024	0.5063	211.8001
YKL186C	-0.0022	0.4128	190.5228
YKR037C	-0.0021	0.3881	187.4362
YDL172C	0.0022	0.3964	182.7919
YAR066W	-0.0061	1.114	181.5636
YMR086C-A	-0.0028	0.4937	179.1875
YDR163W	0.0025	0.4405	178.6757
YDR051C	0.0023	0.4158	177.6275
YCR009C	-0.0022	0.3779	173.0612
YPR046W	0.0027	0.4699	172.3695
YIL161W	0.003	0.5221	171.689
YOR357C	0.0034	0.566	167.7048
YDR237W	-0.0034	0.5578	162.4358
YPL174C	0.0043	0.6785	158.1239
YBR274W	0.0021	0.3269	157.3601
YML086C	-0.0034	0.5269	156.1893
YCL069W	-0.0041	0.6415	155.8652
YAL018C	0.0047	0.736	155.6826
YMR303C	0.0043	0.6565	154.0468
YBL025W	-0.0029	0.4375	149.2726
YNR035C	0.0041	0.5979	147.483
YHL038C	0.0025	0.351	141.0604
YNL245C	0.0028	0.3813	138.0005
YNL070W	0.0038	0.5255	136.8532
YHR092C	-0.0055	0.7332	133.2353
YDR201W	-0.0029	0.3788	132.6695
YHR192W	-0.0031	0.4049	130.6762
YJR021C	-0.004	0.5224	130.2182
YBR262C	0.0037	0.4783	129.8338
YGL251C	-0.0039	0.4996	128.6496
YPR161C	0.0026	0.3386	128.3871
YLR464W	-0.0043	0.5417	127.3676
YDR174W	0.0047	0.5883	124.0815
YJR055W	0.0042	0.5227	123.1186
YJR046W	0.0055	0.677	122.5127
YJL108C	-0.0065	0.7863	121.1968
YHL017W	-0.0033	0.3956	120.6312
YDR482C	-0.0033	0.3906	119.9756
YPL151C	-0.003	0.353	119.5229
YOL073C	-0.0057	0.6736	119.0388
YIL118W	-0.0055	0.6442	117.3772
YMR289W	0.0035	0.4099	117.3033
YHR121W	-0.0043	0.5049	117.2542
YGL233W	-0.0038	0.4408	116.2185
YOL104C	0.006	0.6937	114.937
YOR189W	-0.0038	0.4325	112.8739
YBL051C	0.0042	0.4745	112.45
YLR094C	0.0047	0.5241	112.3552
YDL102W	-0.0051	0.5678	112.2921
YJR108W	0.0049	0.5415	110.6001
YFR020W	0.004	0.4455	110.5655
YDR323C	0.0049	0.5352	108.431
YMR112C	0.0039	0.4204	106.9666
YMR203W	-0.0058	0.6064	104.9309
YHR033W	0.0092	0.9668	104.5793
YMR265C	-0.0043	0.4474	103.5689
YOR363C	0.0053	0.5478	102.8693
YOR080W	-0.0052	0.5266	101.7044
YOR166C	-0.0042	0.4116	97.1152
YGR227W	-0.0039	0.3744	95.4024
YNL250W	-0.0044	0.4171	94.9316
YGL261C	0.0058	0.548	94.5097
YPR202W	-0.0061	0.569	93.8323
YDR089W	0.0063	0.5809	92.4051
YMR064W	-0.0078	0.7184	92.3141
YJL222W	-0.0057	0.5246	91.3961
YBL065W	0.0082	0.7381	89.5527
YDR006C	0.0059	0.5241	89.2691
YOL038W	0.0077	0.674	87.9986
YER019C-A	-0.0053	0.4703	87.9881
YPL022W	-0.0051	0.4481	87.0433
YNR030W	-0.0064	0.5517	86.3822
YBR136W	0.0056	0.4735	84.9307
YNL289W	0.0049	0.4121	84.9063
YPL136W	-0.01	0.8456	84.5608
YNR050C	0.0133	1.1197	84.0172
YHR099W	-0.0063	0.5323	83.8612
YBR171W	-0.0077	0.6284	81.7229
YIL066C	-0.0192	1.5701	81.6471
YGR180C	0.0095	0.7649	80.1811
YIR023W	-0.005	0.3946	79.1013
YGR057C	-0.0056	0.441	78.5762
YGR059W	-0.0101	0.7932	78.3022
YKL175W	0.0061	0.4664	76.9741
YJR120W	0.0075	0.5723	76.7552
YDR410C	-0.0057	0.4308	75.8466
YBR148W	0.0087	0.6529	75.3678
YMR150C	-0.0051	0.3834	75.0314
YBR194W	-0.0052	0.3861	74.1076
YER130C	-0.0083	0.6018	72.4444
YGL068W	-0.0074	0.5314	72.2481
YJR020W	0.0105	0.7616	72.2187
YNL171C	0.0045	0.3215	71.2627
YGR226C	0.0122	0.865	71.0701
YML069W	-0.0068	0.48	70.7459
YOL086C	0.01	0.707	70.5318
YKL114C	0.0054	0.3822	70.3415
YNL230C	-0.0094	0.6627	70.2453
YJL143W	-0.0069	0.4823	70.0667
YOL066C	-0.0111	0.7744	69.7003
YBR095C	-0.0049	0.3336	68.7729
YDR510W	0.0066	0.4464	67.9404
YBR102C	0.006	0.4029	67.539
YNL031C	-0.009	0.6079	67.2283
YOR353C	0.0064	0.4269	66.2123
YER017C	0.0068	0.4476	65.6182
YDL056W	-0.0094	0.6154	65.4529
YIL138C	0.0104	0.6705	64.5264
YHR048W	-0.0078	0.5014	64.3575
YLR207W	-0.0069	0.4469	64.322
YPR195C	0.0085	0.5445	63.9654
YMR237W	0.0096	0.6111	63.3693
YML035C	-0.0063	0.4004	63.0872
YKL108W	0.0076	0.476	62.7808
YLR122C	0.0125	0.7687	61.6431
YGR147C	-0.0072	0.4419	61.0729
YHR083W	0.0063	0.3847	60.9991
YBL112C	-0.0083	0.5039	60.4715
YPL208W	0.0109	0.6571	60.0455
YPR168W	-0.0069	0.4076	59.4189
YDR308C	0.0063	0.3728	59.2358
YBR176W	-0.0092	0.5449	59.0102
YOR393W	0.0152	0.8962	58.999
YBL026W	-0.0106	0.6186	58.2438
YBR098W	-0.0068	0.3926	58.0391
YKL060C	-0.0121	0.7006	57.991
YNL165W	0.0093	0.536	57.9043
YPL259C	-0.0058	0.3356	57.4118
YGL127C	0.0081	0.4617	57.1589
YEL028W	-0.0089	0.5062	56.9295
YBR058C	-0.0066	0.3727	56.8786
YGL210W	0.0081	0.4589	56.7469
YBL098W	0.0095	0.5342	56.086
YPL162C	-0.0071	0.3942	55.6127
YPL016W	-0.0118	0.6549	55.292
YNR023W	0.0068	0.3721	55.1069
YDL080C	0.0079	0.4335	55.0234
YEL063C	0.0134	0.7372	54.8393
YNR065C	-0.0103	0.5596	54.4477
YPR197C	0.009	0.4794	53.5082
YNL158W	0.0068	0.3611	53.357
YFL061W	-0.013	0.6896	52.8934
YDR374C	-0.0151	0.7889	52.2476
YDR151C	0.0087	0.4534	52.2423
YGL126W	-0.0113	0.5897	52.0702
YGR150C	-0.0089	0.465	52.0415
YMR165C	0.0108	0.5585	51.927
YMR151W	0.0087	0.4526	51.8793
YPR037C	0.0089	0.4543	51.3021
YKR007W	0.0081	0.4165	51.2807
